"scenario","seed","k_vrai","alpha","omega","k_opt","instability_min","stabk"
"S3",1,3,1,1,2,NA,"NA;0.0603;0.1156;0.1141;0.0963;0.0876"
"S4",1,3,0,0,6,NA,"NA;0.1309;0.1504;0.1436;0.128;0.1143"
"S4",1,3,0.2,0,6,NA,"NA;0.1258;0.1539;0.1309;0.1317;0.117"
"S4",1,3,0.4,0,6,NA,"NA;0.1246;0.1521;0.1322;0.1254;0.1196"
"S4",1,3,0.6,0,6,NA,"NA;0.1292;0.1506;0.1314;0.1236;0.1164"
"S4",1,3,0.8,0,2,NA,"NA;0.1124;0.1586;0.1307;0.125;0.1141"
"S4",1,3,1,0,6,NA,"NA;0.1146;0.1505;0.1367;0.1271;0.1133"
"S4",1,3,0,0.2,2,NA,"NA;0.1079;0.1525;0.1294;0.117;0.1098"
"S4",1,3,0.2,0.2,6,NA,"NA;0.1156;0.146;0.1261;0.1121;0.1095"
"S4",1,3,0.4,0.2,6,NA,"NA;0.1206;0.1313;0.1364;0.1154;0.1126"
"S4",1,3,0.6,0.2,2,NA,"NA;0.1082;0.1358;0.1232;0.1199;0.1107"
"S4",1,3,0.8,0.2,2,NA,"NA;0.0876;0.1213;0.1271;0.1197;0.1066"
"S4",1,3,1,0.2,2,NA,"NA;0.1086;0.1435;0.1205;0.119;0.1106"
"S4",1,3,0,0.4,6,NA,"NA;0.1269;0.1524;0.129;0.1071;0.1018"
"S4",1,3,0.2,0.4,6,NA,"NA;0.1278;0.1403;0.1213;0.1015;0.1004"
"S4",1,3,0.4,0.4,6,NA,"NA;0.1146;0.1371;0.1175;0.1063;0.1053"
"S4",1,3,0.6,0.4,6,NA,"NA;0.1037;0.137;0.1158;0.1063;0.0999"
"S4",1,3,0.8,0.4,6,NA,"NA;0.1026;0.1382;0.117;0.1098;0.1"
"S4",1,3,1,0.4,2,NA,"NA;0.0962;0.1263;0.1125;0.1069;0.0993"
"S4",1,3,0,0.6,6,NA,"NA;0.1355;0.13;0.1154;0.1079;0.0945"
"S4",1,3,0.2,0.6,6,NA,"NA;0.1353;0.142;0.1148;0.1035;0.0987"
"S4",1,3,0.4,0.6,5,NA,"NA;0.1265;0.1328;0.1149;0.0944;0.099"
"S4",1,3,0.6,0.6,6,NA,"NA;0.1148;0.1184;0.1087;0.0964;0.0961"
"S4",1,3,0.8,0.6,6,NA,"NA;0.1187;0.1168;0.1104;0.103;0.0997"
"S4",1,3,1,0.6,6,NA,"NA;0.1057;0.1155;0.1116;0.1008;0.0985"
"S4",1,3,0,0.8,5,NA,"NA;0.1512;0.0984;0.1068;0.0921;0.0921"
"S4",1,3,0.2,0.8,6,NA,"NA;0.1152;0.1059;0.1102;0.0944;0.0897"
"S4",1,3,0.4,0.8,6,NA,"NA;0.0958;0.0903;0.1131;0.0989;0.0895"
"S4",1,3,0.6,0.8,2,NA,"NA;0.0854;0.1076;0.1049;0.0972;0.094"
"S4",1,3,0.8,0.8,2,NA,"NA;0.0661;0.107;0.0954;0.0942;0.0955"
"S4",1,3,1,0.8,2,NA,"NA;0.0558;0.1032;0.1016;0.0989;0.1001"
"S4",1,3,0,1,6,NA,"NA;0.1259;0.0859;0.096;0.0893;0.0849"
"S4",1,3,0.2,1,6,NA,"NA;0.0941;0.1034;0.0868;0.0892;0.0861"
"S4",1,3,0.4,1,2,NA,"NA;0.0716;0.1062;0.0951;0.0872;0.0831"
"S4",1,3,0.6,1,2,NA,"NA;0.074;0.1053;0.1036;0.0965;0.0892"
"S4",1,3,0.8,1,2,NA,"NA;0.069;0.113;0.1063;0.0998;0.0858"
"S4",1,3,1,1,2,NA,"NA;0.0603;0.1156;0.1141;0.0963;0.0876"
