"alpha","omega","k_opt","instability_min","stabk"
0,0,3,NA,"NA;0.1097;0.0836;0.1017;0.098;0.0868"
0.2,0,3,NA,"NA;0.1191;0.0849;0.0952;0.0899;0.0886"
0.4,0,6,NA,"NA;0.1042;0.0932;0.0886;0.0888;0.0853"
0.6,0,5,NA,"NA;0.1205;0.0878;0.1008;0.0851;0.0853"
0.8,0,6,NA,"NA;0.1042;0.0886;0.0907;0.0915;0.0843"
1,0,3,NA,"NA;0.118;0.0822;0.0963;0.0959;0.089"
0,0.2,3,NA,"NA;0.0958;0.0671;0.0829;0.0677;0.0684"
0.2,0.2,3,NA,"NA;0.0802;0.0593;0.0694;0.0674;0.0696"
0.4,0.2,3,NA,"NA;0.1093;0.0601;0.0733;0.0683;0.07"
0.6,0.2,3,NA,"NA;0.1005;0.0546;0.066;0.0672;0.0696"
0.8,0.2,3,NA,"NA;0.0864;0.0501;0.0709;0.0759;0.0713"
1,0.2,3,NA,"NA;0.08;0.0508;0.0687;0.0717;0.0741"
0,0.4,3,NA,"NA;0.0768;0.0397;0.0587;0.0609;0.0597"
0.2,0.4,3,NA,"NA;0.0895;0.0351;0.0577;0.0587;0.0563"
0.4,0.4,3,NA,"NA;0.0854;0.0317;0.0544;0.0599;0.0595"
0.6,0.4,3,NA,"NA;0.0974;0.0292;0.05;0.0584;0.0562"
0.8,0.4,3,NA,"NA;0.0994;0.0271;0.0528;0.0622;0.0556"
1,0.4,3,NA,"NA;0.0898;0.0247;0.0471;0.0541;0.0604"
0,0.6,3,NA,"NA;0.074;0.0286;0.0483;0.0518;0.056"
0.2,0.6,3,NA,"NA;0.0624;0.0239;0.0492;0.0536;0.0586"
0.4,0.6,3,NA,"NA;0.0933;0.0177;0.0408;0.0531;0.0562"
0.6,0.6,3,NA,"NA;0.0861;0.0135;0.043;0.0526;0.0604"
0.8,0.6,3,NA,"NA;0.0749;0.0124;0.0436;0.0604;0.0668"
1,0.6,3,NA,"NA;0.072;0.0126;0.0409;0.0586;0.06"
0,0.8,3,NA,"NA;0.0789;0.0253;0.0543;0.0639;0.0597"
0.2,0.8,3,NA,"NA;0.074;0.0225;0.0559;0.0594;0.0553"
0.4,0.8,3,NA,"NA;0.0588;0.0182;0.0473;0.0598;0.0567"
0.6,0.8,3,NA,"NA;0.0771;0.0164;0.048;0.0581;0.0574"
0.8,0.8,3,NA,"NA;0.0561;0.0148;0.0378;0.0558;0.0594"
1,0.8,3,NA,"NA;0.0572;0.0125;0.0428;0.0557;0.0627"
0,1,3,NA,"NA;0.0526;0.0385;0.068;0.0634;0.0493"
0.2,1,3,NA,"NA;0.0475;0.0313;0.0622;0.0681;0.0524"
0.4,1,3,NA,"NA;0.0479;0.0259;0.0598;0.0616;0.0508"
0.6,1,3,NA,"NA;0.0391;0.0248;0.0605;0.0586;0.0549"
0.8,1,3,NA,"NA;0.0358;0.0221;0.0567;0.065;0.0621"
1,1,3,NA,"NA;0.0461;0.0216;0.0529;0.0697;0.064"
